,Quarter,Time,Tm,Detail,SDG,JAX
0,1.0,10:39,Jaguars,Jason Myers 22 yard field goal,0,3
1,1.0,4:43,Jaguars,Jason Myers 51 yard field goal,0,6
2,2.0,14:21,Chargers,Dontrelle Inman 2 yard pass from Philip Rivers (Josh Lambo kick),7,6
3,2.0,7:04,Jaguars,Jason Myers 27 yard field goal,7,9
4,2.0,1:50,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Josh Lambo kick),14,9
5,2.0,0:45,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Josh Lambo kick),21,9
6,3.0,10:03,Jaguars,Jason Myers 28 yard field goal,21,12
7,3.0,1:02,Chargers,Josh Lambo 28 yard field goal,24,12
8,4.0,10:58,Jaguars,Julius Thomas 21 yard pass from Blake Bortles (Jason Myers kick),24,19
9,4.0,4:45,Chargers,Steve Johnson 5 yard pass from Philip Rivers (Josh Lambo kick),31,19
10,4.0,1:21,Jaguars,Allen Robinson 8 yard pass from Blake Bortles (Jason Myers kick failed),31,25
