,Quarter,Tm,Detail,STL,NYG
0,2.0,Cardinals,Jim Bakken 20 yard field goal,3,0
1,2.0,Giants,Jerry Hillebrand 31 yard interception return (Pete Gogolak kick),3,7
2,3.0,Cardinals,Jackie Smith 69 yard pass from Charley Johnson (Jim Bakken kick),10,7
3,3.0,Cardinals,Prentice Gautt 8 yard pass from Terry Nofsinger (Jim Bakken kick),17,7
4,4.0,Giants,Pete Gogolak 26 yard field goal,17,10
5,4.0,Cardinals,Jim Bakken 41 yard field goal,20,10
6,4.0,Giants,Joe Morrison 7 yard pass from Gary Wood (Pete Gogolak kick),20,17
