,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Bobby Douglass 1 yard rush,0,6
1,1.0,Giants,Walker Gillette 13 yard pass from Craig Morton,6,6
2,1.0,Bears,Gary Kosins 3 yard rush (Mirro Roder kick),6,13
3,2.0,Giants,Doug Kotar 2 yard rush (Pete Gogolak kick),13,13
4,4.0,Bears,Mirro Roder 24 yard field goal,13,16
