,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Elijah Pitts 3 yard rush (Don Chandler kick),7,0
1,2.0,Giants,Homer Jones 22 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,2.0,Giants,Joe Morrison 18 yard pass from Fran Tarkenton (Pete Gogolak kick),7,14
3,2.0,Packers,Don Chandler 21 yard field goal,10,14
4,3.0,Packers,Elijah Pitts 6 yard rush (Don Chandler kick),17,14
5,3.0,Packers,Don Chandler 36 yard field goal,20,14
6,4.0,Packers,Elijah Pitts 1 yard rush (Don Chandler kick),27,14
7,4.0,Packers,Jim Grabowski 2 yard rush (Don Chandler kick),34,14
8,4.0,Giants,Homer Jones 30 yard pass from Fran Tarkenton (Pete Gogolak kick),34,21
9,4.0,Packers,Jim Grabowski 38 yard pass from Bart Starr (Don Chandler kick),41,21
10,4.0,Packers,Donny Anderson 7 yard rush (Don Chandler kick),48,21
