,Quarter,Time,Tm,Detail,GNB,TAM
0,1.0,,Packers,Edgar Bennett 39 yard rush (Chris Jacke kick),7,0
1,1.0,,Packers,Sterling Sharpe 6 yard pass from Brett Favre (Chris Jacke kick),14,0
2,2.0,,Buccaneers,Michael Husted 38 yard field goal,14,3
3,2.0,,Buccaneers,Michael Husted 27 yard field goal,14,6
4,2.0,,Packers,Sterling Sharpe 22 yard pass from Brett Favre (Chris Jacke kick),21,6
5,2.0,,Packers,Sterling Sharpe 6 yard pass from Brett Favre (Chris Jacke kick),28,6
6,3.0,,Buccaneers,Charles Wilson 17 yard pass from Craig Erickson (pass failed),28,12
7,3.0,,Packers,Chris Jacke 38 yard field goal,31,12
8,3.0,,Packers,Chris Jacke 18 yard field goal,34,12
9,4.0,,Buccaneers,Tyji Armstrong 1 yard pass from Craig Erickson (Michael Husted kick),34,19
