,Quarter,Time,Tm,Detail,OAK,BAL
0,1.0,10:32,Ravens,"Safety, Jameel McClain sacked JaMarcus Russell in the end zone.",0,2
1,2.0,14:26,Ravens,Willis McGahee 1 yard rush (Matt Stover kick),0,9
2,2.0,7:26,Ravens,Demetrius Williams 70 yard pass from Joe Flacco (Matt Stover kick),0,16
3,2.0,0:10,Ravens,Matt Stover 38 yard field goal,0,19
4,3.0,10:13,Raiders,Sebastian Janikowski 22 yard field goal,3,19
5,3.0,3:18,Ravens,Matt Stover 30 yard field goal,3,22
6,3.0,0:36,Raiders,Justin Griffith 2 yard pass from JaMarcus Russell (Sebastian Janikowski kick),10,22
7,4.0,3:35,Ravens,Joe Flacco 12 yard rush (Matt Stover kick),10,29
