,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Larry Hardy 2 yard pass from Archie Manning (Benny Ricardo kick),0,7
1,2.0,Saints,George Rogers 8 yard rush (Benny Ricardo kick),0,14
2,2.0,Buccaneers,Bill Capece 51 yard field goal,3,14
3,2.0,Buccaneers,Kevin House 16 yard pass from Doug Williams (Bill Capece kick),10,14
4,3.0,Buccaneers,Doug Williams 2 yard rush (Bill Capece kick),17,14
5,4.0,Buccaneers,Gordon Jones 4 yard pass from Doug Williams (Bill Capece kick),24,14
6,4.0,Buccaneers,James Owens 6 yard rush (Bill Capece kick),31,14
