,Quarter,Time,Tm,Detail,SFO,STL
0,1.0,10:29,49ers,Phil Dawson 54 yard field goal,3,0
1,1.0,4:24,Rams,"Safety, Mike Davis tackled in end zone by James Laurinaitis",3,2
2,2.0,10:25,Rams,Todd Gurley 71 yard rush (Jared Cook pass from Nick Foles),3,10
3,2.0,6:52,Rams,Greg Zuerlein 38 yard field goal,3,13
4,2.0,1:53,49ers,Phil Dawson 26 yard field goal,6,13
5,2.0,0:18,Rams,Tavon Austin 2 yard rush (Greg Zuerlein kick),6,20
6,4.0,8:34,Rams,Tavon Austin 66 yard pass from Nick Foles (Greg Zuerlein kick),6,27
