,Quarter,Tm,Detail,DET,OAK
0,1.0,Raiders,Mark van Eeghen 1 yard rush,0,6
1,2.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),0,13
2,2.0,Lions,Freddie Scott 42 yard pass from Gary Danielson (Benny Ricardo kick),7,13
3,2.0,Lions,Horace King 1 yard rush (Benny Ricardo kick),14,13
4,3.0,Raiders,Mark van Eeghen offensive fumble recovery in end zone (Errol Mann kick),14,20
5,3.0,Raiders,Dave Casper 2 yard pass from Ken Stabler (Errol Mann kick),14,27
6,3.0,Lions,Benny Ricardo 30 yard field goal,17,27
7,4.0,Raiders,"Safety, Villapiano tackled Danielson in end zone",17,29
