,Quarter,Time,Tm,Detail,DET,JAX
0,1,8:18,Jaguars,LaBrandon Toefield 12 yard pass from David Garrard (Josh Scobee kick),0,7
1,2,0:00,Jaguars,Josh Scobee 31 yard field goal,0,10
2,3,5:49,Jaguars,Greg Jones 1 yard rush (Josh Scobee kick),0,17
3,4,13:07,Lions,Eddie Drummond 55 yard punt return (Jason Hanson kick),7,17
4,4,6:30,Lions,Jason Hanson 21 yard field goal,10,17
5,4,0:46,Lions,Eddie Drummond 83 yard punt return (Jason Hanson kick),17,17
6,OT,9:32,Jaguars,Jimmy Smith 36 yard pass from David Garrard,17,23
