,Quarter,Time,Tm,Detail,CHI,PIT
0,2.0,,Bears,Bobby Engram 54 yard pass from Erik Kramer,6,0
1,2.0,,Steelers,Jerome Bettis 1 yard rush (Norm Johnson kick),6,7
2,2.0,0:04,Bears,Jeff Jaeger 19 yard field goal,9,7
3,3.0,0:04,Steelers,Norm Johnson 49 yard field goal,9,10
4,3.0,0:04,Steelers,Andre Coleman 13 yard pass from Kordell Stewart (Norm Johnson kick),9,17
5,4.0,0:04,Bears,Jeff Jaeger 36 yard field goal,12,17
