,Quarter,Time,Tm,Detail,LAR,BUF
0,1.0,1:46,Bills,Lee Smith 1 yard pass from Josh Allen (Tyler Bass kick),0,7
1,2.0,10:08,Bills,Josh Allen 1 yard rush (Tyler Bass kick),0,14
2,2.0,3:13,Rams,Sam Sloman 30 yard field goal,3,14
3,2.0,0:43,Bills,Tyler Kroft 3 yard pass from Josh Allen (Tyler Bass kick),3,21
4,3.0,8:10,Bills,Stefon Diggs 4 yard pass from Josh Allen (Tyler Bass kick),3,28
5,3.0,4:49,Rams,Jared Goff 1 yard rush (Sam Sloman kick),10,28
6,3.0,3:02,Rams,Robert Woods 25 yard pass from Jared Goff (Sam Sloman kick),17,28
7,4.0,10:40,Rams,Cooper Kupp 16 yard pass from Jared Goff (Tyler Higbee pass from Jared Goff),25,28
8,4.0,4:33,Rams,Darrell Henderson 1 yard rush (Sam Sloman kick),32,28
9,4.0,0:21,Bills,Tyler Kroft 3 yard pass from Josh Allen (Tyler Bass kick),32,35
