,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,,Packers,Chris Jacke 42 yard field goal,0,3
1,2.0,2:21,Packers,Dorsey Levens 7 yard pass from Brett Favre (Chris Jacke kick),0,10
2,2.0,2:21,Packers,Chris Jacke 43 yard field goal,0,13
3,2.0,2:21,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),0,20
4,3.0,2:21,Lions,Herman Moore 17 yard pass from Scott Mitchell (Jason Hanson kick),7,20
5,3.0,2:21,Packers,Robert Brooks 12 yard pass from Brett Favre (Chris Jacke kick),7,27
6,3.0,2:21,Lions,Johnnie Morton 16 yard pass from Scott Mitchell (Jason Hanson kick),14,27
7,4.0,2:21,Lions,Herman Moore 8 yard pass from Scott Mitchell (Jason Hanson kick),21,27
8,4.0,2:21,Packers,Chris Jacke 20 yard field goal,21,30
