,Quarter,Tm,Detail,SFO,GNB
0,1.0,49ers,Tom Rathman 5 yard pass from Joe Montana (Ray Wersching kick),7,0
1,2.0,49ers,Joe Montana 10 yard rush,13,0
2,2.0,Packers,Max Zendejas 30 yard field goal,13,3
3,2.0,49ers,Ray Wersching 25 yard field goal,16,3
4,2.0,Packers,Max Zendejas 45 yard field goal,16,6
5,3.0,Packers,Paul Ott Carruth 1 yard rush,16,12
6,4.0,49ers,Jerry Rice 57 yard pass from Joe Montana (Ray Wersching kick),23,12
