,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Billy Howton 89 yard pass from Babe Parilli (Fred Cone kick),0,7
1,1.0,Redskins,Julie Rykovich 13 yard pass from Harry Gilmer (Ed Bagdon kick),7,7
2,2.0,Packers,Breezy Reid 10 yard rush (Fred Cone kick),7,14
3,2.0,Packers,Tony Canadeo 4 yard rush (Fred Cone kick),7,21
4,3.0,Redskins,Hugh Taylor 70 yard pass from Eddie LeBaron (Ed Bagdon kick),14,21
5,3.0,Packers,Fred Cone 30 yard rush (Fred Cone kick),14,28
6,4.0,Packers,Tobin Rote 28 yard pass from Babe Parilli (Fred Cone kick),14,35
7,4.0,Redskins,Neil Ferris 11 yard rush,20,35
