,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Pete Stoyanovich 30 yard field goal,3,0
1,1.0,Dolphins,Irving Fryar 36 yard pass from Dan Marino,9,0
2,1.0,Dolphins,Dan Marino 4 yard rush (Pete Stoyanovich kick),16,0
3,2.0,Dolphins,Pete Stoyanovich 23 yard field goal,19,0
4,2.0,Bills,Steve Christie 40 yard field goal,19,3
5,2.0,Bills,Steve Christie 59 yard field goal,19,6
6,3.0,Dolphins,Pete Stoyanovich 24 yard field goal,22,6
7,4.0,Bills,Bill Brooks 27 yard pass from Jim Kelly (Steve Christie kick),22,13
