,Quarter,Tm,Detail,RAI,DET
0,2.0,Raiders,Todd Christensen 12 yard pass from Marc Wilson (Chris Bahr kick),7,0
1,2.0,Lions,Eddie Murray 48 yard field goal,7,3
2,3.0,Raiders,Chris Bahr 37 yard field goal,10,3
3,4.0,Raiders,Cleo Montgomery 69 yard punt return (Chris Bahr kick),17,3
4,4.0,Raiders,Marcus Allen 73 yard pass from Jim Plunkett (Chris Bahr kick),24,3
