,Quarter,Time,Tm,Detail,NYJ,BAL
0,1.0,3:36,Ravens,Willis McGahee 2 yard pass from Kyle Boller (Matt Stover kick),0,7
1,2.0,13:36,Jets,Mike Nugent 50 yard field goal,3,7
2,2.0,9:37,Ravens,Matt Stover 28 yard field goal,3,10
3,2.0,0:06,Ravens,Todd Heap 4 yard pass from Kyle Boller (Matt Stover kick),3,17
4,4.0,14:57,Ravens,Matt Stover 43 yard field goal,3,20
5,4.0,10:05,Jets,Mike Nugent 21 yard field goal,6,20
6,4.0,3:12,Jets,Chris Baker 3 yard pass from Kellen Clemens (Mike Nugent kick),13,20
