,Quarter,Tm,Detail,IND,NWE
0,1.0,Patriots,Marvin Allen 1 yard rush (Jason Staurovsky kick),0,7
1,2.0,Colts,Dean Biasucci 54 yard field goal,3,7
2,2.0,Patriots,Jason Staurovsky 29 yard field goal,3,10
3,3.0,Colts,Dean Biasucci 38 yard field goal,6,10
4,4.0,Colts,Bill Brooks 26 yard pass from Jeff George (Dean Biasucci kick),13,10
