,Quarter,Tm,Detail,PHI,MIA
0,1.0,Eagles,Mike Quick 19 yard pass from Ron Jaworski (Paul McFadden kick),7,0
1,1.0,Eagles,Tony Woodruff 13 yard pass from Ron Jaworski (Paul McFadden kick),14,0
2,2.0,Dolphins,Tony Nathan 11 yard pass from Dan Marino (Uwe von Schamann kick),14,7
3,3.0,Eagles,Paul McFadden 45 yard field goal,17,7
4,3.0,Dolphins,Woody Bennett 2 yard rush (Uwe von Schamann kick),17,14
5,4.0,Dolphins,Pete Johnson 1 yard rush (Uwe von Schamann kick),17,21
6,4.0,Dolphins,Uwe von Schamann 27 yard field goal,17,24
7,4.0,Eagles,Melvin Hoover 38 yard pass from Ron Jaworski,23,24
