,Quarter,Tm,Detail,MIN,PHI
0,1.0,Vikings,Jan Stenerud 38 yard field goal,3,0
1,1.0,Eagles,Paul McFadden 27 yard field goal,3,3
2,2.0,Eagles,Paul McFadden 37 yard field goal,3,6
3,2.0,Eagles,Paul McFadden 49 yard field goal,3,9
4,3.0,Eagles,Paul McFadden 37 yard field goal,3,12
5,4.0,Vikings,Tommy Kramer 20 yard pass from Alfred Anderson (Jan Stenerud kick),10,12
6,4.0,Vikings,Alfred Anderson 1 yard rush (Jan Stenerud kick),17,12
7,4.0,Eagles,John Spagnola 1 yard pass from Ron Jaworski (Paul McFadden kick),17,19
