,Quarter,Tm,Detail,DAY,BOS
0,2.0,Bulldogs,Tony Latone 1 yard rush (Cy Wentworth kick),0,7
1,2.0,Bulldogs,Cy Wentworth 27 yard pass from Hust Stockton (Cy Wentworth kick),0,14
2,3.0,Bulldogs,Cy Wentworth 48 yard pass from Hust Stockton (Cy Wentworth kick),0,21
3,4.0,Bulldogs,Cy Wentworth 45 yard punt return (Cy Wentworth kick failed),0,27
4,4.0,Bulldogs,Tony Latone 1 yard rush (Cy Wentworth kick),0,34
5,4.0,Bulldogs,Paul Kittredge 55 yard interception return (Cy Wentworth kick),0,41
