,Quarter,Time,Tm,Detail,CLE,BUF
0,1.0,4:51,Browns,Billy Cundiff 22 yard field goal,3,0
1,3.0,8:04,Bills,Chris Hogan 3 yard pass from Kyle Orton (Dan Carpenter kick),3,7
2,3.0,7:54,Bills,Jerry Hughes 18 yard defensive fumble return (Dan Carpenter kick),3,14
3,4.0,13:41,Bills,Dan Carpenter 49 yard field goal,3,17
4,4.0,12:01,Bills,Dan Carpenter 34 yard field goal,3,20
5,4.0,8:47,Browns,Johnny Manziel 10 yard rush (Billy Cundiff kick),10,20
6,4.0,3:32,Bills,Dan Carpenter 34 yard field goal,10,23
7,4.0,0:27,Bills,Dan Carpenter 35 yard field goal,10,26
