,Quarter,Time,Tm,Detail,SEA,KAN
0,1,,Seahawks,Joey Galloway 41 yard pass from Warren Moon (Todd Peterson kick),7,0
1,2,,Seahawks,Todd Peterson 44 yard field goal,10,0
2,2,,Chiefs,Marcus Allen 8 yard rush (Pete Stoyanovich kick),10,7
3,3,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),10,14
4,3,,Seahawks,James McKnight 54 yard pass from Warren Moon (Todd Peterson kick),17,14
5,4,,Chiefs,Pete Stoyanovich 29 yard field goal,17,17
6,OT,,Chiefs,Pete Stoyanovich 41 yard field goal,17,20
