,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Colts,Raul Allegre 42 yard field goal,3,0
1,3.0,Jets,Lam Jones 50 yard pass from Richard Todd (Pat Leahy kick),3,7
2,3.0,Colts,Curtis Dickey 1 yard rush (Raul Allegre kick),10,7
3,4.0,Colts,Curtis Dickey 25 yard pass from Mike Pagel (Raul Allegre kick),17,7
4,4.0,Jets,Lam Jones 10 yard pass from Richard Todd (Pat Leahy kick),17,14
