,Quarter,Time,Tm,Detail,SEA,STL
0,1.0,9:36,Rams,Torry Holt 9 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
1,1.0,4:30,Seahawks,Deion Branch 14 yard pass from Matt Hasselbeck (Josh Brown kick),7,7
2,2.0,13:02,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),7,14
3,2.0,2:41,Rams,Torry Holt 10 yard pass from Marc Bulger (Jeff Wilkins kick),7,21
4,3.0,4:28,Seahawks,Darrell Jackson 42 yard pass from Matt Hasselbeck (Josh Brown kick),14,21
5,4.0,14:21,Seahawks,Josh Brown 49 yard field goal,17,21
6,4.0,13:33,Seahawks,Deion Branch 19 yard pass from Matt Hasselbeck (Josh Brown kick),24,21
7,4.0,10:33,Seahawks,Josh Brown 49 yard field goal,27,21
8,4.0,1:44,Rams,Torry Holt 67 yard pass from Marc Bulger (Jeff Wilkins kick),27,28
9,4.0,0:00,Seahawks,Josh Brown 54 yard field goal,30,28
