,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Don Cockroft 38 yard field goal,0,3
1,1.0,Cowboys,Chuck Howley 44 yard defensive fumble return (Mike Clark kick),7,3
2,2.0,Cowboys,Mike Clark 16 yard field goal,10,3
3,2.0,Browns,Leroy Kelly 45 yard pass from Bill Nelsen (Don Cockroft kick),10,10
4,3.0,Browns,Dale Lindsey 27 yard interception return (Don Cockroft kick),10,17
5,3.0,Browns,Leroy Kelly 35 yard rush (Don Cockroft kick),10,24
6,3.0,Cowboys,Mike Clark 47 yard field goal,13,24
7,4.0,Browns,Ernie Green 2 yard rush (Don Cockroft kick),13,31
8,4.0,Cowboys,Walt Garrison 2 yard pass from Craig Morton (Mike Clark kick),20,31
