,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,David Ray 45 yard field goal,0,3
1,1.0,Rams,Bob Klein 1 yard pass from Jerry Rhome (David Ray kick),0,10
2,2.0,Falcons,Bill Bell 25 yard field goal,3,10
3,2.0,Falcons,Bill Bell 30 yard field goal,6,10
4,2.0,Falcons,Cannonball Butler 27 yard pass from Bob Berry (Bill Bell kick),13,10
5,3.0,Rams,Willie Ellison 50 yard rush (David Ray kick),13,17
6,3.0,Falcons,Joe Profit 4 yard rush (Bill Bell kick),20,17
7,4.0,Rams,David Ray 47 yard field goal,20,20
