,Quarter,Time,Tm,Detail,ARI,OAK
0,1,8:57,Raiders,Tim Brown 5 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1,5:14,Cardinals,Thomas Jones 5 yard rush (Bill Gramatica kick),7,7
2,2,9:48,Cardinals,Michael Pittman 1 yard rush (Bill Gramatica kick),14,7
3,2,3:44,Cardinals,Bill Gramatica 23 yard field goal,17,7
4,2,0:03,Cardinals,Bill Gramatica 26 yard field goal,20,7
5,3,8:19,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),20,14
6,4,13:40,Cardinals,Bill Gramatica 33 yard field goal,23,14
7,4,11:20,Raiders,Tim Brown 22 yard pass from Rich Gannon (Sebastian Janikowski kick),23,21
8,4,1:47,Raiders,Sebastian Janikowski 24 yard field goal,23,24
9,4,1:18,Cardinals,David Boston 50 yard pass from Jake Plummer (Jake Plummer run),31,24
10,4,0:12,Raiders,Jerry Rice 2 yard pass from Rich Gannon (Sebastian Janikowski kick),31,31
11,OT,7:31,Cardinals,Bill Gramatica 36 yard field goal,34,31
