,Quarter,Tm,Detail,MIN,GNB
0,1,Packers,Sterling Sharpe 12 yard pass from Don Majkowski (Chris Jacke kick),0,7
1,2,Vikings,Fuad Reveiz 50 yard field goal,3,7
2,2,Packers,Chris Jacke 25 yard field goal,3,10
3,2,Vikings,Hassan Jones 11 yard pass from Rich Gannon (Fuad Reveiz kick),10,10
4,3,Vikings,Fuad Reveiz 38 yard field goal,13,10
5,4,Packers,Sanjay Beach 4 yard pass from Don Majkowski (Chris Jacke kick),13,17
6,4,Vikings,Hassan Jones 4 yard pass from Rich Gannon (Fuad Reveiz kick),20,17
7,4,Packers,Chris Jacke 24 yard field goal,20,20
8,OT,Vikings,Fuad Reveiz 25 yard field goal,23,20
