,Quarter,Tm,Detail,KAN,CHI
0,1.0,Chiefs,Mike Livingston 1 yard rush (Jan Stenerud kick),7,0
1,1.0,Chiefs,Ed Podolak 1 yard rush (Jan Stenerud kick),14,0
2,2.0,Chiefs,Jan Stenerud 37 yard field goal,17,0
3,3.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),17,7
4,4.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),17,14
5,4.0,Chiefs,Jan Stenerud 21 yard field goal,20,14
6,4.0,Bears,Walter Payton 15 yard rush (Bob Thomas kick),20,21
7,4.0,Chiefs,Ed Podolak 14 yard rush (Jan Stenerud kick),27,21
8,4.0,Bears,Greg Latta 37 yard pass from Bob Avellini (Bob Thomas kick),27,28
