,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,9:37,Raiders,Andre Rison 10 yard pass from Rich Gannon (Shane Lechler kick),0,7
1,1.0,1:03,Raiders,Zack Crockett 1 yard rush (Shane Lechler kick),0,14
2,2.0,13:47,Chiefs,Tony Richardson 1 yard rush (Todd Peterson kick),7,14
3,2.0,7:40,Raiders,Andre Rison 6 yard pass from Rich Gannon (Shane Lechler kick),7,21
4,2.0,3:21,Raiders,Tyrone Wheatley 1 yard rush (Shane Lechler kick),7,28
5,2.0,0:27,Chiefs,Todd Peterson 28 yard field goal,10,28
6,3.0,4:49,Raiders,Rickey Dudley 20 yard pass from Rich Gannon (Shane Lechler kick),10,35
7,3.0,1:07,Chiefs,Derrick Alexander 9 yard pass from Elvis Grbac (Todd Peterson kick),17,35
8,4.0,8:19,Chiefs,Derrick Alexander 48 yard pass from Elvis Grbac (Todd Peterson kick),24,35
9,4.0,3:53,Raiders,Rickey Dudley 2 yard pass from Rich Gannon (Shane Lechler kick),24,42
10,4.0,1:47,Chiefs,Elvis Grbac 3 yard rush (Todd Peterson kick),31,42
11,4.0,1:37,Raiders,Randy Jordan 43 yard rush (Shane Lechler kick),31,49
