,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,,Packers,Antonio Freeman 67 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,,Packers,Ryan Longwell 28 yard field goal,10,0
2,2.0,,Lions,Jason Hanson 25 yard field goal,10,3
3,2.0,,Lions,Pete Chryplewicz 3 yard pass from Charlie Batch (Jason Hanson kick),10,10
4,3.0,,Packers,Ryan Longwell 40 yard field goal,13,10
5,4.0,,Lions,Germane Crowell 68 yard pass from Charlie Batch (Jason Hanson kick),13,17
6,4.0,,Lions,Barry Sanders 73 yard rush (Jason Hanson kick),13,24
7,4.0,,Lions,Jason Hanson 36 yard field goal,13,27
8,4.0,,Packers,Antonio Freeman 14 yard pass from Brett Favre (Ryan Longwell kick),20,27
