,Quarter,Time,Tm,Detail,ARI,DET
0,2.0,,Lions,Jason Hanson 28 yard field goal,0,3
1,2.0,,Cardinals,Frank Sanders 16 yard pass from Jake Plummer (Joe Nedney kick),7,3
2,2.0,,Lions,Jason Hanson 47 yard field goal,7,6
3,3.0,,Lions,Jason Hanson 44 yard field goal,7,9
4,3.0,,Cardinals,Rob Moore 36 yard pass from Jake Plummer (Joe Nedney kick),14,9
5,4.0,,Lions,Tommy Vardell 1 yard rush (run failed),14,15
6,4.0,,Cardinals,Joe Nedney 53 yard field goal,17,15
