,Quarter,Time,Tm,Detail,NWE,JAX
0,1.0,7:46,Jaguars,Donte Moncrief 4 yard pass from Blake Bortles (Josh Lambo kick),0,7
1,1.0,2:10,Jaguars,Keelan Cole 24 yard pass from Blake Bortles (Josh Lambo kick),0,14
2,2.0,2:45,Patriots,Stephen Gostkowski 29 yard field goal,3,14
3,2.0,0:09,Jaguars,Austin Seferian-Jenkins 4 yard pass from Blake Bortles (Josh Lambo kick),3,21
4,3.0,7:50,Jaguars,Josh Lambo 28 yard field goal,3,24
5,3.0,1:42,Patriots,Chris Hogan 7 yard pass from Tom Brady (Stephen Gostkowski kick),10,24
6,4.0,14:10,Patriots,Stephen Gostkowski 46 yard field goal,13,24
7,4.0,7:35,Jaguars,Dede Westbrook 61 yard pass from Blake Bortles (Josh Lambo kick),13,31
8,4.0,3:40,Patriots,Chris Hogan 29 yard pass from Tom Brady (Stephen Gostkowski kick),20,31
