,Quarter,Tm,Detail,BAL,NYJ
0,2.0,Jets,Bob Davis 1 yard rush (Bobby Howfield kick),0,7
1,3.0,Colts,Don Nottingham 2 yard rush (Jim O'Brien kick),7,7
2,3.0,Colts,Tom Matte 10 yard rush (Jim O'Brien kick),14,7
3,4.0,Jets,Rich Caster 16 yard pass from Bob Davis,14,13
