,Quarter,Tm,Detail,CIN,WAS
0,1.0,Redskins,Charley Taylor 10 yard pass from Sonny Jurgensen (Curt Knight kick),0,7
1,1.0,Redskins,Curt Knight 10 yard field goal,0,10
2,3.0,Redskins,Charley Taylor 31 yard pass from Sonny Jurgensen (Curt Knight kick),0,17
3,4.0,Redskins,Curt Knight 30 yard field goal,0,20
