,Quarter,Time,Tm,Detail,SFO,DEN
0,2.0,10:57,Broncos,Jason Elam 20 yard field goal,0,3
1,2.0,7:33,Broncos,KaRon Coleman 24 yard rush (Jason Elam kick),0,10
2,2.0,0:42,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),0,17
3,3.0,10:33,Broncos,Ed McCaffrey 25 yard pass from Gus Frerotte (Jason Elam kick),0,24
4,3.0,8:51,Broncos,Gus Frerotte 13 yard rush (Jason Elam kick),0,31
5,3.0,0:15,Broncos,Mike Anderson 1 yard rush (Jason Elam kick),0,38
6,4.0,9:04,49ers,Wade Richey 44 yard field goal,3,38
7,4.0,0:39,49ers,J.J. Stokes 8 yard pass from Jeff Garcia (Wade Richey kick failed),9,38
