,Quarter,Tm,Detail,RAM,WAS
0,1.0,Redskins,Frank Grant 59 yard pass from Billy Kilmer (Mark Moseley kick),0,7
1,1.0,Redskins,Jean Fugett 3 yard pass from Billy Kilmer (Mark Moseley kick),0,14
2,3.0,Redskins,Mark Moseley 45 yard field goal,0,17
3,4.0,Rams,Terry Nelson 17 yard pass from Vince Ferragamo (Rafael Septien kick),7,17
4,4.0,Rams,Jim Jodat 2 yard pass from Vince Ferragamo (Rafael Septien kick),14,17
