,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Charley Taylor 15 yard pass from Sonny Jurgensen (Curt Knight kick),0,7
1,2.0,Lions,Errol Mann 36 yard field goal,3,7
2,2.0,Redskins,Curt Knight 31 yard field goal,3,10
3,2.0,Redskins,Jerry Smith 7 yard pass from Sonny Jurgensen (Curt Knight kick),3,17
4,3.0,Redskins,Charley Taylor 16 yard pass from Sonny Jurgensen (Curt Knight kick),3,24
5,4.0,Lions,Nick Eddy 4 yard rush (Errol Mann kick),10,24
6,4.0,Redskins,Larry Brown 4 yard rush (Curt Knight kick),10,31
