,Quarter,Tm,Detail,NYJ,NOR
0,1.0,Saints,George Rogers 14 yard rush (Morten Andersen kick),0,7
1,1.0,Jets,Lance Mehl 34 yard interception return (Pat Leahy kick),7,7
2,1.0,Saints,Hoby Brenner 38 yard pass from Ken Stabler (Morten Andersen kick),7,14
3,2.0,Jets,Marion Barber Jr. 1 yard rush (Pat Leahy kick),14,14
4,3.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),14,21
5,3.0,Saints,George Rogers 2 yard rush (Morten Andersen kick),14,28
6,4.0,Jets,Pat Leahy 37 yard field goal,17,28
7,4.0,Jets,Jerome Barkum 11 yard pass from Richard Todd (Pat Leahy kick),24,28
8,4.0,Jets,Kirk Springs 76 yard punt return (Pat Leahy kick),31,28
