,Quarter,Tm,Detail,IND,NYJ
0,2.0,Jets,Cary Blanchard 28 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 42 yard field goal,3,3
2,3.0,Jets,Cary Blanchard 19 yard field goal,3,6
3,4.0,Colts,Dean Biasucci 24 yard field goal,6,6
4,4.0,Colts,Dean Biasucci 38 yard field goal,9,6
