,Quarter,Time,Tm,Detail,OAK,GNB
0,1.0,12:25,Raiders,Daniel Carlson 45 yard field goal,3,0
1,1.0,9:47,Packers,Aaron Jones 21 yard pass from Aaron Rodgers (Mason Crosby kick),3,7
2,2.0,11:38,Raiders,Foster Moreau 10 yard pass from Derek Carr (Daniel Carlson kick),10,7
3,2.0,3:30,Packers,Jamaal Williams 2 yard pass from Aaron Rodgers (Mason Crosby kick),10,14
4,2.0,0:20,Packers,Jake Kumerow 37 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
5,3.0,12:09,Packers,Aaron Rodgers 3 yard rush (Mason Crosby kick),10,28
6,3.0,6:45,Raiders,Darren Waller 7 yard pass from Derek Carr (Daniel Carlson kick),17,28
7,3.0,2:12,Packers,Jimmy Graham 3 yard pass from Aaron Rodgers (Mason Crosby kick),17,35
8,4.0,6:39,Packers,Marquez Valdes-Scantling 74 yard pass from Aaron Rodgers (Mason Crosby kick),17,42
9,4.0,1:37,Raiders,Darren Waller 17 yard pass from Mike Glennon (Daniel Carlson kick),24,42
