,Quarter,Tm,Detail,GNB,NOR
0,1.0,Packers,Scott Hunter 1 yard rush (Chester Marcol kick),7,0
1,2.0,Packers,Chester Marcol 34 yard field goal,10,0
2,2.0,Packers,Willie Buchanon 57 yard blocked field goal return (Chester Marcol kick),17,0
3,2.0,Saints,Richard Neal special teams fumble recovery in end zone (Happy Feller kick),17,7
4,3.0,Packers,Jerry Tagge 1 yard rush (Chester Marcol kick),24,7
5,3.0,Saints,Bill Butler 9 yard pass from Archie Manning (pass failed),24,13
6,4.0,Packers,Chester Marcol 35 yard field goal,27,13
7,4.0,Packers,Chester Marcol 34 yard field goal,30,13
8,4.0,Saints,Dave Parks 10 yard pass from Archie Manning (Happy Feller kick),30,20
