,Quarter,Time,Tm,Detail,KAN,NWE
0,1.0,,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),0,7
1,2.0,,Patriots,Adam Vinatieri 32 yard field goal,0,10
2,2.0,,Patriots,Robert Edwards 15 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,17
3,2.0,,Patriots,Ben Coates 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,24
4,2.0,0:06,Patriots,Adam Vinatieri 38 yard field goal,0,27
5,3.0,0:06,Patriots,Ben Coates 11 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,34
6,3.0,0:06,Patriots,Adam Vinatieri 27 yard field goal,0,37
7,3.0,0:06,Chiefs,Derrick Alexander 8 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,37
8,4.0,0:06,Chiefs,Pete Stoyanovich 33 yard field goal,10,37
9,4.0,0:06,Patriots,Adam Vinatieri 20 yard field goal,10,40
