,Quarter,Tm,Detail,RAM,OAK
0,1.0,Raiders,Charlie Smith 4 yard rush (George Blanda kick),0,7
1,1.0,Raiders,Clarence Davis 8 yard rush (George Blanda kick),0,14
2,1.0,Raiders,Fred Biletnikoff 30 yard pass from Daryle Lamonica (George Blanda kick),0,21
3,1.0,Raiders,Raymond Chester 27 yard pass from Daryle Lamonica (George Blanda kick),0,28
4,2.0,Raiders,Mike Siani 31 yard pass from Daryle Lamonica (George Blanda kick),0,35
5,2.0,Rams,David Ray 21 yard field goal,3,35
6,3.0,Rams,Dick Gordon 6 yard pass from Pete Beathard (David Ray kick),10,35
7,4.0,Raiders,Phil Villapiano 82 yard interception return (George Blanda kick),10,42
8,4.0,Rams,Lance Rentzel 9 yard rush (David Ray kick),17,42
9,4.0,Raiders,George Blanda 30 yard field goal,17,45
