,Quarter,Tm,Detail,CIN,MIA
0,2.0,Bengals,Don Bass 5 yard pass from Jack Thompson (Ian Sunter kick),7,0
1,3.0,Bengals,Pete Johnson 2 yard rush (Ian Sunter kick),14,0
2,4.0,Dolphins,Nat Moore 15 yard pass from Don Strock (Uwe von Schamann kick),14,7
3,4.0,Bengals,"Safety, Williams tackled Howell in end zone",16,7
4,4.0,Dolphins,Nick Giaquinto offensive fumble recovery in end zone (Uwe von Schamann kick),16,14
5,4.0,Dolphins,Uwe von Schamann 39 yard field goal,16,17
