,Quarter,Tm,Detail,KAN,SDG
0,3.0,Chargers,Marion Butts 54 yard rush (John Carney kick),0,7
1,3.0,Chargers,John Carney 34 yard field goal,0,10
2,4.0,Chargers,Steve Hendrickson 5 yard rush (John Carney kick),0,17
