,Quarter,Tm,Detail,LAB,PRV
0,1,Buccaneers,Tuffy Maul unknown yard rush (Tuffy Maul kick),7,0
1,3,Steam Roller,Curly Oden 4 yard pass from Cy Wentworth,7,6
