,Quarter,Time,Tm,Detail,CIN,BAL
0,1.0,3:14,Ravens,Errict Rhett 2 yard pass from Tony Banks (Matt Stover kick),0,7
1,2.0,14:03,Ravens,Matt Stover 24 yard field goal,0,10
2,2.0,9:53,Ravens,Matt Stover 48 yard field goal,0,13
3,2.0,0:00,Ravens,Matt Stover 19 yard field goal,0,16
4,4.0,7:06,Ravens,Matt Stover 30 yard field goal,0,19
5,4.0,1:57,Ravens,Matt Stover 19 yard field goal,0,22
