,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,9:58,Buccaneers,Connor Barth 43 yard field goal,3,0
1,1.0,4:41,Saints,Jimmy Graham 4 yard pass from Drew Brees (Garrett Hartley kick),3,7
2,2.0,6:40,Buccaneers,Dezmon Briscoe 2 yard pass from Josh Freeman (Connor Barth kick),10,7
3,3.0,10:30,Saints,Garrett Hartley 45 yard field goal,10,10
4,3.0,8:01,Buccaneers,Connor Barth 32 yard field goal,13,10
5,3.0,2:09,Buccaneers,Mike Williams 18 yard pass from Josh Freeman (Connor Barth kick),20,10
6,4.0,11:17,Saints,Garrett Hartley 38 yard field goal,20,13
7,4.0,4:01,Buccaneers,Connor Barth 48 yard field goal,23,13
