,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Paige Cothren 16 yard field goal,0,3
1,1.0,Lions,Terry Barr 86 yard kickoff return (Jim Martin kick),7,3
2,2.0,Rams,Del Shofner 11 yard pass from Billy Wade (Paige Cothren kick),7,10
3,2.0,Lions,Dave Middleton 15 yard pass from Tobin Rote (Jim Martin kick),14,10
4,2.0,Lions,Howard Cassady 35 yard pass from Tobin Rote (Jim Martin kick),21,10
5,3.0,Lions,Jim Doran 56 yard pass from Tobin Rote (Jim Martin kick),28,10
6,3.0,Rams,Jon Arnett 13 yard rush (Paige Cothren kick),28,17
7,3.0,Rams,Will Sherman 28 yard interception return (Paige Cothren kick),28,24
8,4.0,Lions,Jim Martin 14 yard field goal,31,24
9,4.0,Lions,Wayne Walker 33 yard interception return (Jim Martin kick),38,24
10,4.0,Lions,Gerry Perry 8 yard field goal,41,24
