,Quarter,Tm,Detail,CIN,NWE
0,2.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),7,0
1,3.0,Bengals,Jim Breech 24 yard field goal,10,0
2,3.0,Patriots,Tony Collins 1 yard rush (Tony Franklin kick),10,7
3,3.0,Bengals,Eddie Brown 23 yard pass from Boomer Esiason (Jim Breech kick),17,7
4,4.0,Bengals,Stanley Wilson 58 yard rush (Jim Breech kick),24,7
5,4.0,Bengals,James Brooks 56 yard rush (Jim Breech kick),31,7
