,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Randy Montgomery 94 yard kickoff return (Jim Turner kick),7,0
1,1.0,Chargers,Dennis Partee 45 yard field goal,7,3
2,1.0,Chargers,Dennis Partee 11 yard field goal,7,6
3,1.0,Chargers,Mike Garrett 41 yard rush (Dennis Partee kick),7,13
4,2.0,Chargers,Gary Garrison 9 yard pass from John Hadl (Dennis Partee kick),7,20
5,2.0,Chargers,Dave Williams 31 yard pass from John Hadl (Dennis Partee kick),7,27
6,2.0,Chargers,Joe Beauchamp 47 yard interception return (Dennis Partee kick),7,34
7,4.0,Broncos,Steve Ramsey 8 yard rush (Jim Turner kick),14,34
8,4.0,Chargers,Bill McClard 47 yard field goal,14,37
