,Quarter,Tm,Detail,DET,CRD
0,1.0,Cardinals,Elmer Angsman 82 yard rush (Pat Harder kick),0,7
1,1.0,Lions,Bill Dudley 18 yard pass from Clyde LeForce (Bill Dudley kick),7,7
2,4.0,Lions,Fred Enke 1 yard rush (Bill Dudley kick),14,7
3,4.0,Lions,John Greene 31 yard pass from Clyde LeForce (Bill Dudley kick),21,7
4,4.0,Lions,Bill Dudley 29 yard field goal,24,7
