,Quarter,Tm,Detail,WAS,NYG
0,1,Giants,Doug Kotar 1 yard rush (Joe Danelo kick),0,7
1,2,Redskins,Mark Moseley 21 yard field goal,3,7
2,3,Redskins,Mark Moseley 41 yard field goal,6,7
3,4,Giants,Billy Taylor 1 yard rush (Joe Danelo kick),6,14
