,Quarter,Time,Tm,Detail,ATL,SFO
0,2.0,12:59,49ers,Raheem Mostert 2 yard rush (Robbie Gould kick),0,7
1,2.0,7:06,Falcons,Julio Jones 5 yard pass from Matt Ryan (Younghoe Koo kick),7,7
2,2.0,2:41,Falcons,Younghoe Koo 43 yard field goal,10,7
3,2.0,0:27,49ers,Robbie Gould 22 yard field goal,10,10
4,3.0,5:20,49ers,Robbie Gould 46 yard field goal,10,13
5,4.0,10:12,49ers,Kyle Juszczyk 2 yard pass from Jimmy Garoppolo (Robbie Gould kick failed),10,19
6,4.0,5:20,Falcons,Qadree Ollison 1 yard rush (Younghoe Koo kick),17,19
7,4.0,1:52,49ers,Robbie Gould 43 yard field goal,17,22
8,4.0,0:05,Falcons,Julio Jones 5 yard pass from Matt Ryan (run failed),23,22
9,4.0,0:02,Falcons,Olamide Zaccheaus fumble recovery in end zone,29,22
