,Quarter,Tm,Detail,BUF,CAN
0,2.0,Bulldogs,Ben Jones 3 yard rush (Pete Henry kick),0,7
1,2.0,Bulldogs,Lou Smyth 3 yard rush (Pete Henry kick),0,14
