,Quarter,Time,Tm,Detail,CHI,PHI
0,1.0,0:03,Eagles,David Akers 51 yard field goal,0,3
1,2.0,0:46,Eagles,Jeff Thomason 3 yard pass from Donovan McNabb (David Akers kick),0,10
2,3.0,6:35,Eagles,David Akers 29 yard field goal,0,13
3,4.0,12:36,Bears,Paul Edinger 25 yard field goal,3,13
4,4.0,4:39,Bears,Paul Edinger 33 yard field goal,6,13
5,4.0,4:10,Bears,Paul Edinger 40 yard field goal,9,13
