,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,Rich Karlis 37 yard field goal,0,3
1,1.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),0,10
2,2.0,Oilers,Tony Zendejas 27 yard field goal,3,10
3,2.0,Broncos,Steve Watson 41 yard pass from John Elway (Rich Karlis kick),3,17
4,3.0,Broncos,Clarence Kay 6 yard pass from John Elway (Rich Karlis kick),3,24
5,3.0,Oilers,Butch Woolfolk 67 yard pass from Warren Moon (Tony Zendejas kick),10,24
6,3.0,Broncos,Vance Johnson 29 yard pass from John Elway (Rich Karlis kick),10,31
7,3.0,Oilers,Tony Zendejas 25 yard field goal,13,31
8,4.0,Oilers,Drew Hill 7 yard pass from Mike Moroski (Tony Zendejas kick),20,31
