,Quarter,Tm,Detail,DUL,CHI
0,2.0,Bears,Paddy Driscoll 25 yard field goal,0,3
1,3.0,Bears,Milt Romney unknown yard rush (Paddy Driscoll kick),0,10
2,3.0,Bears,Bill Senn 1 yard rush (Paddy Driscoll kick),0,17
3,3.0,Bears,Duke Hanny 12 yard pass from Laurie Walquist (Dutch Sternaman kick),0,24
4,4.0,Eskimos,Ernie Nevers unknown yard rush,6,24
