,Quarter,Tm,Detail,SDG,DEN
0,1.0,Broncos,Riley Odoms 5 yard pass from Charley Johnson (Jim Turner kick),0,7
1,2.0,Broncos,Floyd Little 6 yard rush (Jim Turner kick),0,14
2,2.0,Broncos,Jim Turner 34 yard field goal,0,17
3,3.0,Chargers,Glen Bonner 1 yard rush (Dennis Partee kick),7,17
4,3.0,Broncos,Otis Armstrong 10 yard rush (Jim Turner kick),7,24
5,4.0,Broncos,Jim Turner 20 yard field goal,7,27
