,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Lloyd Madden 56 yard pass from Beryl Clark (Beryl Clark kick),7,0
1,1.0,Redskins,Dick Todd 81 yard pass from Sammy Baugh (Bob Masterson kick),7,7
2,1.0,Redskins,Wilbur Moore 21 yard pass from Sammy Baugh (Bob Masterson kick),7,14
3,1.0,Cardinals,Hugh McCullough 1 yard rush (Lou Zontini kick),14,14
4,2.0,Cardinals,Marshall Goldberg 24 yard rush (Lou Zontini kick),21,14
5,3.0,Redskins,Wayne Millner 20 yard pass from Sammy Baugh (Sandy Sanford kick),21,21
6,4.0,Redskins,Bob Masterson 20 yard pass from Frank Filchock (Bo Russell kick),21,28
