,Quarter,Tm,Detail,NOR,CLE
0,2.0,Saints,Hokie Gajan 2 yard pass from Richard Todd (Morten Andersen kick),7,0
1,2.0,Browns,Ozzie Newsome 5 yard pass from Paul McDonald (Matt Bahr kick),7,7
2,2.0,Saints,Morten Andersen 26 yard field goal,10,7
3,3.0,Browns,Ozzie Newsome 5 yard pass from Paul McDonald (Matt Bahr kick),10,14
4,4.0,Saints,Morten Andersen 21 yard field goal,13,14
5,4.0,Saints,Morten Andersen 53 yard field goal,16,14
